month,insolation_horizontal,albedo
January,1.8,0.2
February,2.6,0.2
March,3.5,0.2
April,4.6,0.2
May,5.7,0.2
June,6.3,0.2
July,6.1,0.2
August,5.4,0.2
September,4.2,0.2
October,3,0.2
November,1.8,0.2
December,1.5,0.2
